Local Govt Educ Auth *,Name of School/Institution
LAGOS ISLAND,COMPUTER CENTRE EREKO
LAGOS ISLAND,COMPUTER CENTRE CHRIST CHURCH CATHEDRAL 
LAGOS ISLAND,MINI RESOURCE CENTRE
LAGOS MAINLAND,HOME ECONOMICS CENTRE EAST
LAGOS MAINLAND,HOME ECONOMICS CENTRE WEST
LAGOS MAINLAND,HOME ECONOMICS CENTRE YABA
LAGOS MAINLAND,HANDICRAFT CENTRE OJO ONIYUN
LAGOS MAINLAND,HANDICRAFT CENTRE OKO BABA
LAGOS MAINLAND,HANDICRAFT CENTRE MYHOUNG
LAGOS MAINLAND,MINI RESOURCE CENTRE ADEKUNLE
LAGOS MAINLAND,"YABA I. C. T. CENTRE, SABO-YABA"
LAGOS MAINLAND,"I. C. T. CENTRE, MAKOKO"
MUSHIN,ADELEYE H/ECONS
MUSHIN,BARUWA H/ECONS
MUSHIN,BINEY H/ECONS
MUSHIN,ELEJAH/ECONS
MUSHIN,ITIRE H/ECONS
MUSHIN,MORAYO H/ECONS
MUSHIN,OYE H/ECONS
MUSHIN,PALM AVE/ECONS
MUSHIN,ST JOSEPH H/ECONS
MUSHIN,ST PAUL A/C H/ECONS
MUSHIN,AJEABO COM CENT
MUSHIN,BARUWA COMP CENT
MUSHIN,ST PAUL'S ANG COMP
MUSHIN,MINI RESOURCE CENTRE 
MUSHIN,A.U.D COMPUTER CENTRE
OJO,"COMMUNITY VOCATIONAL CENTRE, OJO"
OJO,"TEACHER'S RESOURCE CENTRE, OJO"
OJO,ARTS AND CRAFTS CENTRE
OJO,I.C.T. CENTRE LGEA  SECRETARIAT OJO
OJO,I.C.T. CENTRE ETEGBIN
OJO,I.C.T. CENTRE ESE-OFIN
oshodi isolo,"EJIGBO HOME ECONOMIC CENTRE,"
oshodi isolo,"COMM. VOC.CENTRE, ISOLO"
oshodi isolo,MAFOLUKU HOME ECONS CENTRE
oshodi isolo,"COMM. VOC. CENTRE, OSHODI"
oshodi isolo,SOGUNLE HOME ECONS CENTRE
oshodi isolo,OSHODI ART & CRAFT CENTRE
oshodi isolo,ISAGATEDO ART & CRAFT CENTRE
oshodi isolo,MINI RESOURCES
oshodi isolo,"ICT COMPUTER CENTRE, OSHODI"
oshodi isolo,"MDGS COMPUTER CENTRE, OSHODI"
SOMOLU,ART & CRAFT CENTRE BARIGA
SOMOLU,ART & CRAFT CENTRE SOMOLU
SOMOLU,COMPUTER CENTRE LGEA
SOMOLU,COMPUTER CENTRE IGBOBI
SOMOLU,HOME-ECONS CENTRE
SOMOLU,HOME-ECONS CENTRE
SOMOLU,MINI-RESOURCES CENTRE
SURULERE,Home Econs Centre (O. L. L.)
SURULERE,Home Econs Centre (Sanya)
SURULERE,Home Econs Centre (Coker)
SURULERE,Home Econs centre (Surulere)
SURULERE,Computer Centre (Adebola)
SURULERE,Computer Centre (Adegoke)
SURULERE,Mini Resources centre
